Username,Tag Name
43degreescafe@fingermenu.co.nz,Food
43degreescafe@fingermenu.co.nz,Brunch Weekday
43degreescafe@fingermenu.co.nz,Sweet Food
43degreescafe@fingermenu.co.nz,Sav Food
43degreescafe@fingermenu.co.nz,Deli
43degreescafe@fingermenu.co.nz,Beverage
43degreescafe@fingermenu.co.nz,Hot Drinks
43degreescafe@fingermenu.co.nz,Hot Drinks Mods
43degreescafe@fingermenu.co.nz,Hot Drinks Tea
43degreescafe@fingermenu.co.nz,Pizza
43degreescafe@fingermenu.co.nz,Cold Drinks Juices
43degreescafe@fingermenu.co.nz,Cold Drinks
,
,
takumi@fingermenu.co.nz,Drinks
takumi@fingermenu.co.nz,Hot Drinks
takumi@fingermenu.co.nz,Tap Beer
takumi@fingermenu.co.nz,Bottled Beer
takumi@fingermenu.co.nz,Bottled Cider
takumi@fingermenu.co.nz,Sake
takumi@fingermenu.co.nz,Plum Wine
takumi@fingermenu.co.nz,Japanese Fruity Beer
takumi@fingermenu.co.nz,Ramune
takumi@fingermenu.co.nz,Japanese Whiskey (40%)
takumi@fingermenu.co.nz,Non-Alcoholic
takumi@fingermenu.co.nz,Soft Drink
takumi@fingermenu.co.nz,Juice
takumi@fingermenu.co.nz,Tea
