Username,Tag Name
takumi@fingermenu.co.nz,Tap Beer
takumi@fingermenu.co.nz,Bottled Beer
takumi@fingermenu.co.nz,Bottled Cider
takumi@fingermenu.co.nz,Sake
takumi@fingermenu.co.nz,Plum Wine
takumi@fingermenu.co.nz,Japanese Fruity Beer
takumi@fingermenu.co.nz,Ramune
takumi@fingermenu.co.nz,Japanese Whiskey (40%)
takumi@fingermenu.co.nz,Non-Alcoholic
takumi@fingermenu.co.nz,Soft Drink
takumi@fingermenu.co.nz,Juice
,
info@43degreescafe.co.nz,Vegan
info@43degreescafe.co.nz,Vegetarian
info@43degreescafe.co.nz,Gluten Free
info@43degreescafe.co.nz,Hot Drinks
info@43degreescafe.co.nz,Cold Drinks
info@43degreescafe.co.nz,Red Wine
info@43degreescafe.co.nz,White Wine
info@43degreescafe.co.nz,Bubbles
info@43degreescafe.co.nz,Other
info@43degreescafe.co.nz,Beer
,
maxine@fingermenu.co.nz,Soups
